Group,Metric,QUIS,Baseline,ONLYSTATS,Winner,Description
Core & Efficiency,0. Total insights,133,81,125,N/A,Total insight cards generated
Core & Efficiency,1. Faithfulness,100.0%,100.0%,100.0%,Tie,Correctness - đúng dữ liệu
Core & Efficiency,2. Statistical Significance (Overall),20.0%,55.8%,30.6%,Baseline,Validity - pattern-averaged (fair comparison)
Core & Efficiency,2a. Significance — TREND,N/A,0.0% (4),N/A,Baseline,Validity - TREND pattern
Core & Efficiency,2a. Significance — OUTSTANDING_VALUE,22.2% (27),40.0% (10),3.8% (26),Baseline,Validity - OUTSTANDING_VALUE pattern
Core & Efficiency,2a. Significance — ATTRIBUTION,36.7% (49),100.0% (7),57.6% (33),Baseline,Validity - ATTRIBUTION pattern
Core & Efficiency,2a. Significance — DISTRIBUTION_DIFFERENCE,20.9% (43),83.3% (6),61.1% (18),Baseline,Validity - DISTRIBUTION_DIFFERENCE pattern
Core & Efficiency,2b. Pattern Coverage,3/4 (75%),3/4 (75%),3/4 (75%),Tie,Patterns with ≥1 structurally valid insight / 4 total patterns
Core & Efficiency,2b1. Uncovered Patterns,TREND,TREND,TREND,N/A,Patterns with 0 valid insights (breakdown type mismatch)
Core & Efficiency,3. Insight Novelty,87.2%,85.2%,78.4%,QUIS,Usefulness - khác baseline (from pairwise comparison results)
Core & Efficiency,4a. Diversity — Semantic,0.499,0.497,0.491,QUIS,Semantic diversity (breakdown|measure|pattern|subspace)
Core & Efficiency,4b. Diversity — Subspace Entropy,2.938,1.305,2.485,QUIS,Entropy of subspace filter columns used
Core & Efficiency,4c. Diversity — Value,0.767,0.407,0.707,QUIS,"Unique (column, value) pairs in subspace / total"
Core & Efficiency,4d. Diversity — Dedup Rate,0,0.037,0,Tie,Duplicate rate — lower is better
Subspace Deep-dive,7. Subspace Rate,116/133 (87.2%),27/81 (33.3%),75/125 (60.0%),QUIS,Insights with subspace filter / total
Subspace Deep-dive,7a. Subspace Faithfulness,100.0%,100.0%,100.0%,Tie,Faithfulness restricted to subspace insights
Subspace Deep-dive,7b. Subspace Significance,24.0%,0.0%,0.0%,QUIS,Significance restricted to subspace insights
Subspace Deep-dive,8. Score Uplift from Subspace,"Δ=0.083, x=1.574","Δ=0.046, x=1.079","Δ=-0.184, x=0.506",QUIS,Δ = mean(score|subspace) - mean(score|no-subspace)
Subspace Deep-dive,9. Simpson's Paradox Rate (SPR),30.2% (1/35 sig),0.0% (0/0 sig),21.3% (0/16 sig),QUIS,Rate of statistically significant pattern reversals (p<0.05) — true Simpson's Paradox cases
Intent Layer Quality,"10. Total (B,M) pairs evaluated",49/51,24/30,38/38,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness)
Intent Layer Quality,10a. BM — NMI mean,0.035,0.086,nan,Baseline,Mean NMI over categorical-B pairs
Intent Layer Quality,10b. BM — Interestingness,0.090,0.157,0.087,Baseline,Mean Coverage×EffectSize over categorical-B pairs
Intent Layer Quality,10c. BM — Actionability,0.961,0.800,1.000,ONLYSTATS,% pairs with categorical breakdown
Intent Layer Quality,10d. BM — Diversity,0.384,0.370,0.304,QUIS,"Unique (B,M) pairs / total insights"
Intent Layer Quality,11a. Question Semantic Diversity,0.597,0.630,N/A,Baseline,1 - mean cosine sim of question embeddings (within-system); N/A for ONLYSTATS (template)
Intent Layer Quality,11b. Question Specificity,10.25 ± 2.51,10.11 ± 5.17,N/A,QUIS,Avg word count per question (mean ± std) — higher = more specific; N/A for ONLYSTATS (template)
Intent Layer Quality,11c. Question–Insight Alignment,0.493,0.588,N/A,Baseline,"Mean cosine(Embed(question), Embed(insight)) — control metric; N/A for ONLYSTATS (template)"
Intent Layer Quality,11d. Question Novelty (cross-system),100.0%,97.5%,N/A,QUIS,% of questions with cross-system max cosine sim < 0.85 (from pairwise comparison results)
Intent Layer Quality,11e. Reason–Insight Coherence,0.468,0.519,N/A,Baseline,"Mean cosine(Embed(reason), Embed(insight)) — reason grounding"
Intent Layer Quality,12. Structural Validity Rate,96.2% (128/133),37.0% (30/81),100.0% (125/125),ONLYSTATS,% insights with breakdown type valid for their pattern — measures QuGen structural understanding
Intent Layer Quality,12a. SVR — OUTSTANDING_VALUE,35/35,11/11,49/49,Tie,Structural validity for OUTSTANDING_VALUE pattern
Intent Layer Quality,12a. SVR — TREND,0/1,0/42,N/A,Tie,Structural validity for TREND pattern
Intent Layer Quality,12a. SVR — ATTRIBUTION,50/50,7/13,58/58,Tie,Structural validity for ATTRIBUTION pattern
Intent Layer Quality,12a. SVR — DISTRIBUTION_DIFFERENCE,43/47,12/15,18/18,ONLYSTATS,Structural validity for DISTRIBUTION_DIFFERENCE pattern
