Group,Metric,ONLYSTATS,QUIS,Winner,Description
Core & Efficiency,0. Total insights,48,106,N/A,Total insight cards generated
Core & Efficiency,1. Faithfulness,100.0%,100.0%,Tie,Correctness - đúng dữ liệu
Core & Efficiency,2. Statistical Significance (Overall),66.3%,35.9%,ONLYSTATS,Validity - pattern-averaged (fair comparison)
Core & Efficiency,2a. Significance — TREND,50.0% (2),N/A,ONLYSTATS,Validity - TREND pattern
Core & Efficiency,2a. Significance — OUTSTANDING_VALUE,52.2% (23),34.4% (32),ONLYSTATS,Validity - OUTSTANDING_VALUE pattern
Core & Efficiency,2a. Significance — ATTRIBUTION,63.2% (19),53.3% (30),ONLYSTATS,Validity - ATTRIBUTION pattern
Core & Efficiency,2a. Significance — DISTRIBUTION_DIFFERENCE,100.0% (1),56.0% (25),ONLYSTATS,Validity - DISTRIBUTION_DIFFERENCE pattern
Core & Efficiency,3. Insight Novelty,31.2%,64.2%,QUIS,Usefulness - khác baseline
Core & Efficiency,4a. Diversity — Semantic,0.415,0.489,QUIS,Semantic diversity (breakdown|measure|pattern|subspace)
Core & Efficiency,4b. Diversity — Subspace Entropy,1.645,1.596,ONLYSTATS,Entropy of subspace filter columns used
Core & Efficiency,4c. Diversity — Value,0.444,0.440,ONLYSTATS,"Unique (column, value) pairs in subspace / total"
Core & Efficiency,4d. Diversity — Dedup Rate,0,0,Tie,Duplicate rate — lower is better
Subspace Deep-dive,7. Subspace Rate,45/48 (93.8%),84/106 (79.2%),ONLYSTATS,Insights with subspace filter / total
Subspace Deep-dive,7a. Subspace Faithfulness,100.0%,100.0%,Tie,Faithfulness restricted to subspace insights
Subspace Deep-dive,7b. Subspace Significance,45.0%,44.4%,ONLYSTATS,Significance restricted to subspace insights
Subspace Deep-dive,7c. Subspace Novelty,37.8%,61.9%,QUIS,Novelty restricted to subspace insights
Subspace Deep-dive,7d.1. Diversity — Semantic (Subspace),0.413,0.464,QUIS,Semantic diversity restricted to subspace insights
Subspace Deep-dive,7d.2. Diversity — Subspace Entropy (Subspace),1.645,1.596,ONLYSTATS,Entropy of subspace filter columns used (subspace insights)
Subspace Deep-dive,7d.3. Diversity — Value (Subspace),0.444,0.440,ONLYSTATS,"Unique (column, value) pairs in subspace / total (subspace insights)"
Subspace Deep-dive,7d.4. Diversity — Dedup Rate (Subspace),0,0,Tie,Duplicate rate restricted to subspace insights - lower is better
Subspace Deep-dive,8. Score Uplift from Subspace,"Δ=-0.394, x=0.534","Δ=-0.137, x=0.742",QUIS,Δ = mean(score|subspace) - mean(score|no-subspace)
Subspace Deep-dive,9. Direction Uplift,down,down,Tie,Direction of Δ score uplift: up/down/flat
Intent Layer Quality,"10. Total (B,M) pairs evaluated",24/24,24/26,N/A,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness)
Intent Layer Quality,10a. BM — NMI mean,0.228,0.179,ONLYSTATS,Mean NMI over categorical-B pairs
Intent Layer Quality,10b. BM — Interestingness,0.314,0.244,ONLYSTATS,Mean Coverage×EffectSize over categorical-B pairs
Intent Layer Quality,10c. BM — Actionability,1.000,0.923,ONLYSTATS,% pairs with categorical breakdown
Intent Layer Quality,10d. BM — Diversity,0.500,0.245,ONLYSTATS,"Unique (B,M) pairs / total insights"
Intent Layer Quality,11a. Question Semantic Diversity,0.387,0.518,QUIS,1 - mean cosine sim of question embeddings (within-system)
Intent Layer Quality,11b. Question Specificity,7.50 ± 0.50,9.99 ± 2.21,QUIS,Avg word count per question (mean ± std) — higher = more specific
Intent Layer Quality,11c. Question–Insight Alignment,0.681,0.543,ONLYSTATS,"Mean cosine(Embed(question), Embed(insight)) — semantic faithfulness"
Intent Layer Quality,11d. Question Novelty (cross-system),N/A,95.3%,Tie,% of questions with cross-system max cosine sim < 0.85
Intent Layer Quality,11e. Reason–Insight Coherence,N/A,0.557,Tie,"Mean cosine(Embed(reason), Embed(insight)) — reason grounding"
