Group,Metric,QUIS_adidas,QUIS_employee_attrition,QUIS_online_sales,Baseline_adidas,Baseline_employee_attrition,Baseline_online_sales,ONLYSTATS_adidas,ONLYSTATS_employee_attrition,ONLYSTATS_online_sales,AVG_QUIS,AVG_Baseline,AVG_ONLYSTATS,Description
Core & Efficiency,0. Total insights,99,133,106,75,81,61,85,132,72,—,—,—,Total insight cards generated
Core & Efficiency,1. Faithfulness,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,Correctness - đúng dữ liệu
Core & Efficiency,2. Statistical Significance (Overall),83.4%,20.0%,35.9%,73.2%,55.8%,43.8%,76.2%,20.2%,58.6%,46.4%,57.6%,51.7%,Validity - pattern-averaged (fair comparison)
Core & Efficiency,2a. Significance — TREND,100.0% (2),N/A,N/A,100.0% (16),0.0% (4),100.0% (2),100.0% (10),N/A,66.7% (3),100.0%,66.7%,83.3%,Validity - TREND pattern
Core & Efficiency,2a. Significance — OUTSTANDING_VALUE,40.0% (30),22.2% (27),34.4% (32),92.9% (14),40.0% (10),75.0% (16),41.7% (24),0.0% (19),52.0% (25),32.2%,69.3%,31.2%,Validity - OUTSTANDING_VALUE pattern
Core & Efficiency,2a. Significance — ATTRIBUTION,96.0% (25),36.7% (49),53.3% (30),N/A,100.0% (7),N/A,100.0% (24),47.3% (55),60.0% (20),62.0%,100.0%,69.1%,Validity - ATTRIBUTION pattern
Core & Efficiency,2a. Significance — DISTRIBUTION_DIFFERENCE,97.4% (39),20.9% (43),56.0% (25),100.0% (4),83.3% (6),0.0% (5),63.0% (27),33.3% (9),55.6% (18),58.1%,61.1%,50.6%,Validity - DISTRIBUTION_DIFFERENCE pattern
Core & Efficiency,2b. Pattern Coverage,4/4 (100%),3/4 (75%),3/4 (75%),3/4 (75%),3/4 (75%),2/4 (50%),4/4 (100%),3/4 (75%),4/4 (100%),—,—,—,Patterns with ≥1 structurally valid insight / 4 total patterns
Core & Efficiency,2b1. Uncovered Patterns,—,TREND,TREND,ATTRIBUTION,TREND,"TREND, ATTRIBUTION",—,TREND,—,—,—,—,Patterns with 0 valid insights (breakdown type mismatch)
Core & Efficiency,3. Insight Novelty,79.8%,90.2%,47.2%,80.0%,85.2%,93.4%,72.9%,81.8%,30.6%,72.4%,86.2%,61.8%,Usefulness - khác baseline (from pairwise comparison results)
Core & Efficiency,4a. Diversity — Semantic,0.479,0.499,0.489,0.388,0.497,0.449,0.439,0.432,0.433,0.4890,0.4447,0.4347,Semantic diversity (breakdown|measure|pattern|subspace)
Core & Efficiency,4b. Diversity — Subspace Entropy,2.259,2.938,1.596,1.373,1.305,0.843,2.027,2.948,1.659,2.2643,1.1737,2.2113,Entropy of subspace filter columns used
Core & Efficiency,4c. Diversity — Value,0.872,0.767,0.440,0.312,0.407,0.500,0.866,0.756,0.463,0.6930,0.4063,0.6950,"Unique (column, value) pairs in subspace / total"
Core & Efficiency,4d. Diversity — Dedup Rate,0,0,0,0,0.037,0,0,0,0,0.0000,0.0123,0.0000,Duplicate rate — lower is better
Subspace Deep-dive,7. Subspace Rate,86/99 (86.9%),116/133 (87.2%),84/106 (79.2%),32/75 (42.7%),27/81 (33.3%),22/61 (36.1%),67/85 (78.8%),78/132 (59.1%),67/72 (93.1%),84.4%,37.4%,77.0%,Insights with subspace filter / total
Subspace Deep-dive,7a. Subspace Faithfulness,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,Faithfulness restricted to subspace insights
Subspace Deep-dive,7b. Subspace Significance,44.0%,24.0%,44.4%,75.0%,0.0%,100.0%,50.0%,0.0%,45.0%,37.5%,58.3%,31.7%,Significance restricted to subspace insights
Subspace Deep-dive,8. Score Uplift from Subspace,"Δ=-0.043, x=0.885","Δ=0.083, x=1.574","Δ=-0.137, x=0.742","Δ=-0.135, x=0.796","Δ=0.046, x=1.079","Δ=0.025, x=1.048","Δ=-0.126, x=0.726","Δ=-0.188, x=0.346","Δ=-0.386, x=0.511",1.0670,0.9740,0.5277,Δ = mean(score|subspace) - mean(score|no-subspace)
Subspace Deep-dive,9. Direction (Contrasting Rate),0.634 (52/82),0.438 (46/105),0.554 (36/65),0.389 (7/18),0.300 (3/10),0.667 (4/6),0.821 (55/67),0.711 (27/38),0.770 (47/61),N/A,N/A,N/A,Rate of subspace insights where subspace value opposes global value — higher means more contrasting/valuable insights
Intent Layer Quality,"10. Total (B,M) pairs evaluated",26/26,49/51,24/26,11/24,24/30,7/16,31/31,53/53,24/24,—,—,—,Total unique breakdown-measure pairs (categorical breakdowns only for NMI/Interestingness)
Intent Layer Quality,10a. BM — NMI mean,0.094,0.035,0.179,0.331,0.086,0.348,0.217,nan,0.228,0.1027,0.2550,0.2225,Mean NMI over categorical-B pairs
Intent Layer Quality,10b. BM — Interestingness,0.077,0.090,0.244,0.090,0.157,0.513,0.068,0.102,0.314,0.1370,0.2533,0.1613,Mean Coverage×EffectSize over categorical-B pairs
Intent Layer Quality,10c. BM — Actionability,1.000,0.961,0.923,0.458,0.800,0.438,1.000,1.000,1.000,0.9613,0.5653,1.0000,% pairs with categorical breakdown
Intent Layer Quality,10d. BM — Diversity,0.263,0.384,0.245,0.320,0.370,0.262,0.365,0.402,0.333,0.2973,0.3173,0.3667,"Unique (B,M) pairs / total insights"
Intent Layer Quality,11a. Question Semantic Diversity,0.493,0.597,0.518,0.548,0.630,0.577,N/A,N/A,N/A,0.5360,0.5850,N/A,1 - mean cosine sim of question embeddings (within-system); N/A for ONLYSTATS (template)
Intent Layer Quality,11b. Question Specificity,9.15 ± 1.40,10.25 ± 2.51,9.99 ± 2.21,12.75 ± 5.03,10.11 ± 5.17,13.48 ± 4.68,N/A,N/A,N/A,9.7967,12.1133,N/A,Avg word count per question (mean ± std) — higher = more specific; N/A for ONLYSTATS (template)
Intent Layer Quality,11c. Question–Insight Alignment,0.583,0.493,0.543,0.579,0.588,0.539,N/A,N/A,N/A,0.5397,0.5687,N/A,"Mean cosine(Embed(question), Embed(insight)) — control metric; N/A for ONLYSTATS (template)"
Intent Layer Quality,11d. Question Novelty (cross-system),84.8%,100.0%,95.3%,100.0%,97.5%,100.0%,N/A,N/A,N/A,93.4%,99.2%,N/A,% of questions with cross-system max cosine sim < 0.85 (from pairwise comparison results)
Intent Layer Quality,11e. Reason–Insight Coherence,0.553,0.468,0.557,0.527,0.519,0.497,N/A,N/A,N/A,0.5260,0.5143,N/A,"Mean cosine(Embed(reason), Embed(insight)) — reason grounding"
Intent Layer Quality,12. Structural Validity Rate,99.0% (98/99),96.2% (128/133),86.8% (92/106),45.3% (34/75),37.0% (30/81),37.7% (23/61),83.5% (71/85),100.0% (132/132),88.9% (64/72),94.0%,40.0%,90.8%,% insights with breakdown type valid for their pattern — measures QuGen structural understanding
Intent Layer Quality,12a. SVR — OUTSTANDING_VALUE,30/30,35/35,36/36,14/14,11/11,18/18,24/24,58/58,25/25,—,—,—,Structural validity for OUTSTANDING_VALUE pattern
Intent Layer Quality,12a. SVR — TREND,2/2,0/1,0/1,16/33,0/42,0/19,10/10,N/A,3/3,—,—,—,Structural validity for TREND pattern
Intent Layer Quality,12a. SVR — ATTRIBUTION,27/27,50/50,29/32,0/13,7/13,0/11,20/24,65/65,18/20,—,—,—,Structural validity for ATTRIBUTION pattern
Intent Layer Quality,12a. SVR — DISTRIBUTION_DIFFERENCE,39/40,43/47,27/37,4/15,12/15,5/13,17/27,9/9,18/24,—,—,—,Structural validity for DISTRIBUTION_DIFFERENCE pattern
